# E0 = 19.46
time,n_1,n_2,n_3,n_4,n_5,n_6,n_7,n_8,n_9,n_10,n_11,n_12,n_13,n_14,n_15,n_16,n_17,n_18,n_19,n_20
2.700000,6.1344891215e-01,5.8306536145e-01,5.7421404366e-01,5.0802254919e-01,4.9594389134e-01,4.8893952298e-01,4.8766082953e-01,4.8665146536e-01,4.9802135624e-01,4.9483803356e-01,5.0515012971e-01,5.0196345949e-01,5.1330988086e-01,5.1227458076e-01,5.1098251587e-01,5.0402927032e-01,4.9211097775e-01,4.2557078673e-01,4.1717919233e-01,3.8662324072e-01
2.750000,6.0795246038e-01,5.8485545132e-01,5.7182142095e-01,5.1140221908e-01,5.0082665240e-01,4.8905974467e-01,4.8949233178e-01,4.8352983912e-01,4.9740844935e-01,4.9318810373e-01,5.0679692190e-01,5.0257645473e-01,5.1643282522e-01,5.1044352638e-01,5.1085862131e-01,4.9915093523e-01,4.8873433654e-01,4.2797697667e-01,4.1535625265e-01,3.9213647660e-01
2.800000,6.0310615733e-01,5.8631093139e-01,5.6863183972e-01,5.1476388996e-01,5.0599385248e-01,4.8917930272e-01,4.9182371675e-01,4.8021410698e-01,4.9709135106e-01,4.9124786720e-01,5.0873419172e-01,5.0289212616e-01,5.1975067384e-01,5.0811241866e-01,5.1073882427e-01,4.9398654034e-01,4.8537089220e-01,4.3118791151e-01,4.1386482961e-01,3.9699857611e-01
2.850000,5.9894999647e-01,5.8735017474e-01,5.6482136836e-01,5.1810037865e-01,5.1122278098e-01,4.8946294398e-01,4.9443758553e-01,4.7688977280e-01,4.9697338853e-01,4.8919262558e-01,5.1078867645e-01,5.0300353818e-01,5.2307554882e-01,5.0549929671e-01,5.1045852092e-01,4.8875938533e-01,4.8202875102e-01,4.3502817216e-01,4.1278794745e-01,4.0116914733e-01
2.900000,5.9549936907e-01,5.8789774609e-01,5.6060835870e-01,5.2139643327e-01,5.1630947929e-01,4.9005233470e-01,4.9712621324e-01,4.7374003750e-01,4.9696488524e-01,4.8718531543e-01,5.1279610516e-01,5.0300715729e-01,5.2622496615e-01,5.0281170239e-01,5.0987409475e-01,4.8367171098e-01,4.7872263746e-01,4.3927627404e-01,4.1220257702e-01,4.0463260223e-01
2.950000,5.9273874370e-01,5.8788140531e-01,5.5622811214e-01,5.2463061571e-01,5.2106913248e-01,4.9104364519e-01,4.9969749721e-01,4.7092691971e-01,4.9698017243e-01,4.8536243454e-01,5.1462093390e-01,5.0298991927e-01,5.2903625602e-01,5.0024116320e-01,5.0888876362e-01,4.7890792102e-01,4.7547510186e-01,4.4369571841e-01,4.1218197605e-01,4.0740356822e-01
3.000000,5.9063694419e-01,5.8724861861e-01,5.5191606519e-01,5.2779249896e-01,5.2535572308e-01,4.9248926833e-01,5.0200173014e-01,4.6859282386e-01,4.9694155096e-01,4.8383574166e-01,5.1615116931e-01,5.0302765806e-01,5.3136483104e-01,4.9793789396e-01,5.0745086103e-01,4.7461612676e-01,4.7229797961e-01,4.4804969856e-01,4.1277975603e-01,4.0951306066e-01
3.050000,5.8914660278e-01,5.8596531657e-01,5.4788543808e-01,5.3087791496e-01,5.2905838516e-01,4.9438719667e-01,5.0393121333e-01,4.6684712097e-01,4.9678948607e-01,4.8268263027e-01,5.1731012362e-01,5.0318287539e-01,5.3310016133e-01,4.9600824409e-01,5.0556238420e-01,4.7090614412e-01,4.6919581899e-01,4.5212336920e-01,4.1403145324e-01,4.1100812096e-01
3.100000,5.8820908559e-01,5.8402184206e-01,5.4431435139e-01,5.3389077523e-01,5.3210888873e-01,4.9668959760e-01,5.0542528501e-01,4.6576144273e-01,4.9648283876e-01,4.8195032359e-01,5.1805107940e-01,5.0349892739e-01,5.3416911912e-01,4.9451116565e-01,5.0327060461e-01,4.6784607913e-01,4.6616550606e-01,4.5573732071e-01,4.1594820785e-01,4.1194755938e-01
3.150000,5.8775349197e-01,5.8143115852e-01,5.4133777357e-01,5.3683377421e-01,5.3447955152e-01,4.9931063660e-01,5.0646554878e-01,4.6536310243e-01,4.9599742089e-01,4.8165228696e-01,5.1836074497e-01,5.0400126370e-01,5.3454476425e-01,4.9346342042e-01,5.0066144149e-01,4.6546338234e-01,4.6320441883e-01,4.5875542195e-01,4.1851788452e-01,4.1240251206e-01
3.200000,5.8770536230e-01,5.7823837486e-01,5.3905043467e-01,5.3970519167e-01,5.3618533317e-01,5.0214781111e-01,5.0707352061e-01,4.6564180931e-01,4.9533606512e-01,4.8178216585e-01,5.1824952833e-01,5.0468718262e-01,5.3423650662e-01,4.9284208172e-01,4.9783652476e-01,4.6374500641e-01,4.6031369778e-01,4.6108102880e-01,4.2169452741e-01,4.1244784690e-01
3.250000,5.8798190892e-01,5.7451426007e-01,5.3750416552e-01,5.4248473983e-01,5.3727213710e-01,5.0509129597e-01,5.0729457125e-01,4.6654577992e-01,4.9451878479e-01,4.8230869324e-01,5.1774110305e-01,5.0553617180e-01,5.3329741200e-01,4.9260283623e-01,4.9490671321e-01,4.6264695746e-01,4.5751525957e-01,4.6266051451e-01,4.2540855057e-01,4.1216814496e-01
