# E0 = 9.610000000000001
time,n_1,n_2,n_3,n_4,n_5,n_6,n_7,n_8,n_9,n_10
4.100000,6.1946438835e-01,5.9835459024e-01,5.5367208106e-01,5.4147490083e-01,4.9588242031e-01,5.0455499310e-01,4.5857023061e-01,4.4611712610e-01,4.0143969504e-01,3.8046957437e-01
4.150000,6.1509240257e-01,6.0261462703e-01,5.5216757522e-01,5.4398840800e-01,4.9948318776e-01,5.0095500276e-01,4.5607030639e-01,4.4761268535e-01,3.9716677928e-01,3.8484902564e-01
4.200000,6.1032530511e-01,6.0715947208e-01,5.5072925916e-01,5.4670569433e-01,5.0232757321e-01,4.9809744701e-01,4.5337243115e-01,4.4905408247e-01,3.9260312957e-01,3.8962560591e-01
4.250000,6.0531173577e-01,6.1177726098e-01,5.4936173573e-01,5.4957956478e-01,5.0449184912e-01,4.9590848594e-01,4.5052159784e-01,4.5043489654e-01,3.8796306214e-01,3.9464981116e-01
4.300000,6.0020149683e-01,6.1626169682e-01,5.4804481713e-01,5.5255906707e-01,5.0614136021e-01,4.9422544096e-01,4.4756666859e-01,4.5177299062e-01,3.8345561480e-01,3.9977084697e-01
4.350000,5.9513738375e-01,6.2041929988e-01,5.4675301996e-01,5.5558267279e-01,5.0745879914e-01,4.9286815826e-01,4.4456731453e-01,4.5309141988e-01,3.7927705705e-01,4.0484487477e-01
4.400000,5.9024742583e-01,6.2407329259e-01,5.4547340872e-01,5.5857848634e-01,5.0857650008e-01,4.9170648274e-01,4.4159382369e-01,4.5440095473e-01,3.7560677030e-01,4.0974285498e-01
4.450000,5.8563801390e-01,6.2706515794e-01,5.4421895365e-01,5.6146990316e-01,5.0952709896e-01,4.9070951376e-01,4.3872139881e-01,4.5568697671e-01,3.7260548439e-01,4.1435749870e-01
4.500000,5.8138838085e-01,6.2925556375e-01,5.4303553213e-01,5.6418363629e-01,5.1022227627e-01,4.8996691193e-01,4.3602207816e-01,4.5690257209e-01,3.7041419622e-01,4.1860885231e-01
4.550000,5.7754691483e-01,6.3052635149e-01,5.4200139416e-01,5.6665722987e-01,5.1046346160e-01,4.8967833747e-01,4.3355720287e-01,4.5796899601e-01,3.6915208296e-01,4.2244802875e-01
4.600000,5.7412976793e-01,6.3078465608e-01,5.4121853689e-01,5.6884457697e-01,5.0998228199e-01,4.9011318440e-01,4.3137193411e-01,4.5878409415e-01,3.6891234675e-01,4.2585862073e-01
4.650000,5.7112210543e-01,6.2996918890e-01,5.4079633670e-01,5.7071956457e-01,5.0850291785e-01,4.9154839264e-01,4.2949169280e-01,4.5923839311e-01,3.6975595530e-01,4.2885545270e-01
4.700000,5.6848207828e-01,6.2805764932e-01,5.4082916113e-01,5.7227884300e-01,5.0581407319e-01,4.9419658671e-01,4.2791950050e-01,4.5923721030e-01,3.7170430429e-01,4.3148059329e-01
4.750000,5.6614721018e-01,6.2507349274e-01,5.4137135589e-01,5.7354444703e-01,5.0183571718e-01,4.9813935596e-01,4.2663346064e-01,4.5872545741e-01,3.7473256054e-01,4.3379694244e-01
